2024-03-14 14:00:55,727 - INFO - get_price.py[31]:当前页面地址标题:Tuna Chain Liquidity Bootstrapping Pool
2024-03-14 14:00:58,749 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:01:58,767 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:02:58,785 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:03:58,815 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:04:58,841 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:05:58,861 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:06:58,878 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:07:58,933 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:08:58,974 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:09:59,014 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:10:59,050 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:11:59,082 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:12:59,107 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:13:59,126 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:14:59,148 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:15:59,173 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:16:59,191 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:17:59,208 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:18:59,231 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:19:59,252 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:20:59,275 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:21:59,293 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:22:59,323 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:23:59,341 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:24:59,369 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:25:59,392 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:26:59,413 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:27:59,441 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:28:59,470 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:29:59,491 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:30:59,521 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:31:59,540 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:32:59,557 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:33:59,576 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:34:59,594 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:35:59,617 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:36:59,637 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:37:59,655 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:38:59,675 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:39:59,692 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:40:59,719 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:41:59,734 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:42:59,763 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:43:59,795 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:44:59,815 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:45:59,833 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:46:59,860 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:47:59,886 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:48:59,917 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:49:59,945 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:50:59,974 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:51:59,994 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:53:00,018 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:54:00,037 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:55:00,056 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:56:00,084 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:57:00,104 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:58:00,130 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 14:59:00,158 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:00:00,188 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:01:00,216 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:02:00,237 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:03:00,259 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:04:00,280 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:05:00,303 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:06:00,331 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:07:00,355 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:08:00,378 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:09:00,412 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:10:00,444 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:11:00,460 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:12:00,494 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:13:00,522 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:14:00,567 - INFO - get_price.py[49]:当前价格:0.514164,我期望的价格:0.45
2024-03-14 15:15:00,702 - INFO - get_price.py[49]:当前价格:0.513721,我期望的价格:0.45
2024-03-14 15:16:00,758 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:17:00,781 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:18:00,822 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:19:00,869 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:20:00,909 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:21:00,931 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:22:00,969 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:23:01,016 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:24:01,663 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:25:01,757 - INFO - get_price.py[49]:当前价格:0.51073,我期望的价格:0.45
2024-03-14 15:26:01,789 - INFO - get_price.py[49]:当前价格:0.51073,我期望的价格:0.45
2024-03-14 15:27:01,815 - INFO - get_price.py[49]:当前价格:0.51073,我期望的价格:0.45
2024-03-14 15:28:01,865 - INFO - get_price.py[49]:当前价格:0.521688,我期望的价格:0.45
2024-03-14 15:29:01,957 - INFO - get_price.py[49]:当前价格:0.521636,我期望的价格:0.45
2024-03-14 15:30:02,006 - INFO - get_price.py[49]:当前价格:0.521296,我期望的价格:0.45
2024-03-14 15:31:02,050 - INFO - get_price.py[49]:当前价格:0.520972,我期望的价格:0.45
2024-03-14 15:32:02,095 - INFO - get_price.py[49]:当前价格:0.520972,我期望的价格:0.45
2024-03-14 15:33:02,138 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:34:02,185 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:35:02,226 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:36:02,260 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:37:02,300 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:38:02,325 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:39:02,373 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:40:02,418 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:41:02,482 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:42:02,546 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:43:02,641 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:44:02,680 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:45:02,711 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:46:02,744 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:47:02,770 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:48:02,787 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:49:02,817 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:50:02,833 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:51:02,865 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:52:02,891 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:53:02,918 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:54:02,949 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:55:02,971 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:56:02,992 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:57:03,012 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:58:03,038 - INFO - get_price.py[49]:当前价格:0.514396,我期望的价格:0.45
2024-03-14 15:59:03,061 - INFO - get_price.py[49]:当前价格:0.514396,我期望的价格:0.45
2024-03-14 16:00:03,089 - INFO - get_price.py[49]:当前价格:0.527248,我期望的价格:0.45
2024-03-14 16:01:03,117 - INFO - get_price.py[49]:当前价格:0.52714,我期望的价格:0.45
2024-03-14 16:02:03,138 - INFO - get_price.py[49]:当前价格:0.52714,我期望的价格:0.45
2024-03-14 16:03:03,164 - INFO - get_price.py[49]:当前价格:0.52714,我期望的价格:0.45
2024-03-14 16:04:03,187 - INFO - get_price.py[49]:当前价格:0.526634,我期望的价格:0.45
2024-03-14 16:05:03,208 - INFO - get_price.py[49]:当前价格:0.526634,我期望的价格:0.45
2024-03-14 16:06:03,241 - INFO - get_price.py[49]:当前价格:0.526634,我期望的价格:0.45
2024-03-14 16:07:03,269 - INFO - get_price.py[49]:当前价格:0.525528,我期望的价格:0.45
2024-03-14 16:08:03,299 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:09:03,332 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:10:03,363 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:11:03,388 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:12:03,411 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:13:03,444 - INFO - get_price.py[49]:当前价格:0.523121,我期望的价格:0.45
2024-03-14 16:14:03,470 - INFO - get_price.py[49]:当前价格:0.523121,我期望的价格:0.45
2024-03-14 16:15:03,491 - INFO - get_price.py[49]:当前价格:0.526086,我期望的价格:0.45
